                   toggle                   |              flag_name2               |   type   
--------------------------------------------+---------------------------------------+----------
 --host-resolver-parallelism                | kHostResolverParallelism              | obsolete
 --disable-ntp-other-sessions-menu          |                                       | obsolete
 --enable-sct-viewer                        |                                       | obsolete
 --num-pac-threads                          | kNumPacThreads                        | obsolete
 --enable-errdialogs                        |                                       | obsolete
 --parent-profile                           | kParentProfile                        | obsolete
 --enable-carrier-switching                 | kEnableCarrierSwitching               | obsolete
 --create-browser-on-startup-for-tests      | kCreateBrowserOnStartupForTests       | obsolete
 --debug-enable-frame-toggle                | kDebugEnableFrameToggle               | obsolete
 --disable-client-side-phishing-detection   | kDisableClientSidePhishingDetection   | obsolete
 --disable-backing-store-limit              | kDisableBackingStoreLimit             | obsolete
 --enable-async-dns                         | kEnableAsyncDns                       | obsolete
 --load-component-extension                 | kLoadComponentExtension               | obsolete
 --renderer-assert-test                     | kRendererAssertTest                   | obsolete
 --start-maximized                          | kStartMaximized                       | obsolete
 --disable-threaded-html-parser             |                                       | obsolete
 --set-token                                | kSetToken                             | obsolete
 --enable-stats-table                       | kEnableStatsTable                     | obsolete
 --extensions-update-frequency              | kExtensionsUpdateFrequency            | obsolete
 --disable-people-search                    | kDisablePeopleSearch                  | obsolete
 --enable-query-extraction                  | kEnableQueryExtraction                | obsolete
 --assert-test                              |                                       | obsolete
 --enable-ipv6                              |                                       | obsolete
 --debug-plugin-loading                     | kDebugPluginLoading                   | obsolete
 --plugins-metadata-server-url              |                                       | obsolete
 --disable-xslt                             |                                       | obsolete
 --no-events                                | kNoEvents                             | obsolete
 --no-message-box                           | kNoMessageBox                         | obsolete
 --disable-application-cache                | kDisableApplicationCache              | obsolete
 --disable-popup-blocking                   | kDisablePopupBlocking                 | obsolete
 --safebrowsing-disable-extension-blacklist |                                       | obsolete
 --password-store                           | kPasswordStore                        | obsolete
 --enable-visual-word-movement              | kEnableVisualWordMovement             | obsolete
 --enable-browser-text-subpixel-positioning | kEnableBrowserTextSubpixelPositioning | obsolete
 --apps-use-native-frame                    | kAppsUseNativeFrame                   | obsolete
 --sync-disable-deferred-startup            | kSyncDisableDeferredStartup           | obsolete
 --disable-genius-app                       | kDisableGeniusApp                     | obsolete
 --ash-enable-tray-dragging                 | kAshEnableTrayDragging                | obsolete
 --enable-threaded-compositing              | kEnableThreadedCompositing            | obsolete
 --disable-gpu-compositing                  | kDisableGpuCompositing                | obsolete
 --tab-capture-downscale-quality            | kTabCaptureDownscaleQuality           | obsolete
 --tab-capture-upscale-quality              | kTabCaptureUpscaleQuality             | obsolete
